book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
RQ6xDwAAQBAJ,python,"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,Al Sweigart,"Learn how to code while you write programs that effortlessly perform useful feats of automation! The second edition of this international fan favorite includes a brand-new chapter on input validation, Gmail and Google Sheets automations, tips for updating CSV files, and more. If you've ever spent hours renaming files or updating spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you? Automate the Boring Stuff with Python, 2nd Edition teaches even the technically uninclined how to write programs that do in minutes what would take hours to do by hand—no prior coding experience required! This new, fully revised edition of Al Sweigart’s bestselling Pythonic classic, Automate the Boring Stuff with Python, covers all the basics of Python 3 while exploring its rich library of modules for performing specific tasks, like scraping data off the Web, filling out forms, renaming files, organizing folders, sending email responses, and merging, splitting, or encrypting PDFs. There’s also a brand-new chapter on input validation, tutorials on automating Gmail and Google Sheets, tips on automatically updating CSV files, and other recent feats of automations that improve your efficiency. Detailed, step-by-step instructions walk you through each program, allowing you to create useful tools as you build out your programming skills, and updated practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks. Boring tasks no longer have to take to get through—and neither does learning Python!",ISBN_13: 9781593279936; ISBN_10: 1593279930,True,False,593,Computers,en,smallThumbnail: http://books.google.com/books/content?id=RQ6xDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=RQ6xDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,2453.22,INR,2453.22,INR,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ&rdid=book-RQ6xDwAAQBAJ&rdot=1&source=gbs_api,2019,No Starch Press
bIZHCgAAQBAJ,python,Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho,"Python’s simplicity lets you become productive quickly, but this often means you aren’t using everything it has to offer. With this hands-on guide, you’ll learn how to write effective, idiomatic Python code by leveraging its best—and possibly most neglected—features. Author Luciano Ramalho takes you through Python’s core language features and libraries, and shows you how to make your code shorter, faster, and more readable at the same time. Many experienced programmers try to bend Python to fit patterns they learned from other languages, and never discover Python features outside of their experience. With this book, those Python programmers will thoroughly learn how to become proficient in Python 3. This book covers: Python data model: understand how special methods are the key to the consistent behavior of objects Data structures: take full advantage of built-in types, and understand the text vs bytes duality in the Unicode age Functions as objects: view Python functions as first-class objects, and understand how this affects popular design patterns Object-oriented idioms: build classes by learning about references, mutability, interfaces, operator overloading, and multiple inheritance Control flow: leverage context managers, generators, coroutines, and concurrency with the concurrent.futures and asyncio packages Metaprogramming: understand how properties, attribute descriptors, class decorators, and metaclasses work",ISBN_13: 9781491946251; ISBN_10: 1491946253,True,True,755,Computers,en,smallThumbnail: http://books.google.com/books/content?id=bIZHCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=bIZHCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2,5.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015,"""O'Reilly Media, Inc."""
KZvM0AEACAAJ,python,Effective Python,90 Specific Ways to Write Better Python (2nd Edition),Brett Slatkin,N/A,ISBN_10: 7115634068; ISBN_13: 9787115634061,False,False,0,Computer programming,en,,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2024,N/A
igYvDwAAQBAJ,python,Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,"Python Crash Course is a fast-paced, thorough introduction to Python that will have you writing programs, solving problems, and making things that work in no time. In the first half of the book, you’ll learn about basic programming concepts, such as lists, dictionaries, classes, and loops, and practice writing clean and readable code with exercises for each topic. You’ll also learn how to make your programs interactive and how to test your code safely before adding it to a project. In the second half of the book, you’ll put your new knowledge into practice with three substantial projects: a Space Invaders–inspired arcade game, data visualizations with Python’s super-handy libraries, and a simple web app you can deploy online. As you work through Python Crash Course you’ll learn how to: –Use powerful Python libraries and tools, including matplotlib, NumPy, and Pygal –Make 2D games that respond to keypresses and mouse clicks, and that grow more difficult as the game progresses –Work with data to generate interactive visualizations –Create and customize Web apps and deploy them safely online –Deal with mistakes and errors so you can solve your own programming problems If you’ve been thinking seriously about digging into programming, Python Crash Course will get you up to speed and have you writing real programs fast. Why wait any longer? Start your engines and code! Uses Python 2 and 3",ISBN_13: 9781593277390; ISBN_10: 1593277393,True,False,564,Computers,en,smallThumbnail: http://books.google.com/books/content?id=igYvDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=igYvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015,No Starch Press
nEJ-jcYF2fMC,python,Learning Python,N/A,Mark Lutz,"Portable, powerful, and a breeze to use, Python is ideal for both standalone programs and scripting applications. With this hands-on book, you can master the fundamentals of the core Python language quickly and efficiently, whether you're new to programming or just new to Python. Once you finish, you will know enough about the language to use it in any application domain you choose. Learning Python is based on material from author Mark Lutz's popular training courses, which he's taught over the past decade. Each chapter is a self-contained lesson that helps you thoroughly understand a key component of Python before you continue. Along with plenty of annotated examples, illustrations, and chapter summaries, every chapter also contains Brain Builder, a unique section with practical exercises and review quizzes that let you practice new skills and test your understanding as you go. This book covers: Types and Operations -- Python's major built-in object types in depth: numbers, lists, dictionaries, and more Statements and Syntax -- the code you type to create and process objects in Python, along with Python's general syntax model Functions -- Python's basic procedural tool for structuring and reusing code Modules -- packages of statements, functions, and other tools organized into larger components Classes and OOP -- Python's optional object-oriented programming tool for structuring code for customization and reuse Exceptions and Tools -- exception handling model and statements, plus a look at development tools for writing larger programs Learning Python gives you a deep and complete understanding of the language that will help you comprehend any application-level examples of Python that you later encounter. If you're ready to discover what Google and YouTube see in Python, this book is the best way to get started.",ISBN_13: 9780596554491; ISBN_10: 0596554494,True,True,749,Computers,en,smallThumbnail: http://books.google.com/books/content?id=nEJ-jcYF2fMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=nEJ-jcYF2fMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,26,4.0,IN,FOR_SALE,True,3235.55,INR,3235.55,INR,https://play.google.com/store/books/details?id=nEJ-jcYF2fMC&rdid=book-nEJ-jcYF2fMC&rdot=1&source=gbs_api,2007,"""O'Reilly Media, Inc."""
bKUbEAAAQBAJ,python,Programming and Problem Solving using Python,N/A,Anuradha A. Puntambekar,"This textbook is designed to learn python programming from scratch. At the beginning of the book general problem solving concepts such as types of problems, difficulties in problem solving, and problem solving aspects are discussed. From this book, you will start learning the Python programming by knowing about the variables, constants, keywords, data types, indentation and various programming constructs. The most commonly used types such as Lists, Tuples, dictionaries are also discussed with necessary examples and illustrations. The book includes the concepts of functions, lambda functions, modules and strings. In the later part of this book the concept of object oriented programming using Python is discussed in detail. Finally how to handle files and directories using Python is discussed. At the end of book some sample programs in Python are given that are based on the programming constructs. Python will be most demanded language after Java in future. So learning Python is need for today’s software professionals. This book serves the purpose of teaching Python programming in the simplest and easiest manner.",ISBN_13: 9789333223829; ISBN_10: 9333223827,False,True,235,Computers,en,smallThumbnail: http://books.google.com/books/content?id=bKUbEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=bKUbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020,Technical Publications
S_SJ2LaZH8EC,python,Python Cookbook,Recipes for Mastering Python 3,"David Beazley, Brian K. Jones","If you need help writing programs in Python 3, or want to update older Python 2 code, this book is just the ticket. Packed with practical recipes written and tested with Python 3.3, this unique cookbook is for experienced Python programmers who want to focus on modern tools and idioms. Inside, youâ??ll find complete recipes for more than a dozen topics, covering the core Python language as well as tasks common to a wide variety of application domains. Each recipe contains code samples you can use in your projects right away, along with a discussion about how and why the solution works. Topics include: Data Structures and Algorithms Strings and Text Numbers, Dates, and Times Iterators and Generators Files and I/O Data Encoding and Processing Functions Classes and Objects Metaprogramming Modules and Packages Network and Web Programming Concurrency Utility Scripting and System Administration Testing, Debugging, and Exceptions C Extensions",ISBN_13: 9781449357351; ISBN_10: 1449357350,True,True,1132,Computers,en,smallThumbnail: http://books.google.com/books/content?id=S_SJ2LaZH8EC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=S_SJ2LaZH8EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,2950.0,INR,2950.0,INR,https://play.google.com/store/books/details?id=S_SJ2LaZH8EC&rdid=book-S_SJ2LaZH8EC&rdot=1&source=gbs_api,2013,"""O'Reilly Media, Inc."""
7AyCDwAAQBAJ,python,1000 Python Interview Questions and Answers,1000 most important and frequently asked interview questions and answers for cracking interviews,Vamsee Puligadda,"Get that job, you aspire for! Want to switch to that high paying job? Or are you already been preparing hard to give interview the next weekend? Do you know how many people get rejected in interviews by preparing only concepts but not focusing on actually which questions will be asked in the interview? Don't be that person this time. This is the most comprehensive Python language interview questions book that you can ever find out. It contains: 1000 most frequently asked and important PYTHON interview questions and answers Wide range of questions which cover not only basics in Python Language but also most advanced and complex questions which will help freshers, experienced professionals, senior developers, testers to crack their interviews.",,False,True,252,Computers,en,smallThumbnail: http://books.google.com/books/content?id=7AyCDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=7AyCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,206.5,INR,144.55,INR,https://play.google.com/store/books/details?id=7AyCDwAAQBAJ&rdid=book-7AyCDwAAQBAJ&rdot=1&source=gbs_api,2018,Vamsee Puligadda
J5Y2EAAAQBAJ,python,Python Object-Oriented Programming,Build robust and maintainable object-oriented Python applications and libraries,"Steven F. Lott, Dusty Phillips","A comprehensive guide to exploring modern Python through data structures, design patterns, and effective object-oriented techniques Key Features Build an intuitive understanding of object-oriented design, from introductory to mature programs Learn the ins and outs of Python syntax, libraries, and best practices Examine a machine-learning case study at the end of each chapter Book Description Object-oriented programming (OOP) is a popular design paradigm in which data and behaviors are encapsulated in such a way that they can be manipulated together. Python Object-Oriented Programming, Fourth Edition dives deep into the various aspects of OOP, Python as an OOP language, common and advanced design patterns, and hands-on data manipulation and testing of more complex OOP systems. These concepts are consolidated by open-ended exercises, as well as a real-world case study at the end of every chapter, newly written for this edition. All example code is now compatible with Python 3.9+ syntax and has been updated with type hints for ease of learning. Steven and Dusty provide a comprehensive, illustrative tour of important OOP concepts, such as inheritance, composition, and polymorphism, and explain how they work together with Python's classes and data structures to facilitate good design. In addition, the book also features an in-depth look at Python's exception handling and how functional programming intersects with OOP. Two very powerful automated testing systems, unittest and pytest, are introduced. The final chapter provides a detailed discussion of Python's concurrent programming ecosystem. By the end of the book, you will have a thorough understanding of how to think about and apply object-oriented principles using Python syntax and be able to confidently create robust and reliable programs. What you will learn Implement objects in Python by creating classes and defining methods Extend class functionality using inheritance Use exceptions to handle unusual situations cleanly Understand when to use object-oriented features, and more importantly, when not to use them Discover several widely used design patterns and how they are implemented in Python Uncover the simplicity of unit and integration testing and understand why they are so important Learn to statically type check your dynamic code Understand concurrency with asyncio and how it speeds up programs Who this book is for If you are new to object-oriented programming techniques, or if you have basic Python skills and wish to learn how and when to correctly apply OOP principles in Python, this is the book for you. Moreover, if you are an object-oriented programmer coming from other languages or seeking a leg up in the new world of Python, you will find this book a useful introduction to Python. Minimal previous experience with Python is necessary.",ISBN_13: 9781801075237; ISBN_10: 1801075239,True,True,715,Computers,en,smallThumbnail: http://books.google.com/books/content?id=J5Y2EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=J5Y2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,3515.21,INR,3515.21,INR,https://play.google.com/store/books/details?id=J5Y2EAAAQBAJ&rdid=book-J5Y2EAAAQBAJ&rdot=1&source=gbs_api,2021,Packt Publishing Ltd
6HgFEAAAQBAJ,python,Taming PYTHON By Programming,N/A,Jeeva Jose,This is a great book for Python Beginner and Advanced Learner which covers Basics to Advanced Python Programming where each topic is explained with the help of Illustrations and Examples. More than 450 solved programs of this book are tested in Python 3.4.3 for windows. The range of Python Topics covered makes this book unique which can be used as a self study material or for instructor assisted teaching. This books covers Python Syllabus of all major national and international universities. Also it includes frequently asked questions for interviews and examination which are provided at the end of each chapter.,ISBN_13: 9789386173348; ISBN_10: 9386173344,False,True,346,Computers,en,smallThumbnail: http://books.google.com/books/content?id=6HgFEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=6HgFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,395.3,INR,276.71,INR,https://play.google.com/store/books/details?id=6HgFEAAAQBAJ&rdid=book-6HgFEAAAQBAJ&rdot=1&source=gbs_api,N/A,KHANNA PUBLISHING HOUSE
